,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
31,Canutama,33,BR,1604789129,65,-6.53,-64.38,82.42,2.77
32,Avarua,78,CK,1604789129,78,-21.21,-159.78,77.0,5.82
33,Puerto Ayora,2,EC,1604789130,76,-0.74,-90.35,72.0,5.01
34,Watertown,75,US,1604789130,48,42.37,-71.18,66.0,6.93
35,Dikson,89,RU,1604789130,89,73.51,80.55,-2.88,12.95
36,Jamestown,1,US,1604789110,42,42.1,-79.24,62.6,4.7
37,Kerema,63,PG,1604789130,77,-7.96,145.78,81.55,3.42
38,Tuktoyaktuk,75,CA,1604789130,86,69.45,-133.04,26.6,24.16
39,Ilulissat,13,GL,1604789130,51,69.22,-51.1,14.0,9.17
40,Kotma,0,IN,1604789131,47,23.2,81.97,55.74,2.42
41,Tiksi,22,RU,1604789131,92,71.69,128.87,-7.37,2.26
42,Pevek,100,RU,1604789131,96,69.7,170.31,16.14,2.3
43,Hong Kong,41,HK,1604789063,47,22.29,114.16,77.0,11.99
44,Busselton,38,AU,1604789131,68,-33.65,115.33,61.0,3.15
45,Atar,16,MR,1604789131,18,20.52,-13.05,85.3,10.27
46,Mataura,39,NZ,1604789131,55,-46.19,168.86,53.01,8.99
47,Hobart,20,AU,1604789110,57,-42.88,147.33,57.99,8.05
48,Shelburne,1,CA,1604789082,55,44.08,-80.2,62.6,9.17
49,East London,0,ZA,1604788894,75,-33.02,27.91,69.93,12.62
50,Yellowknife,75,CA,1604789105,85,62.46,-114.35,10.4,4.7
51,Te Anau,66,NZ,1604789132,49,-45.42,167.72,49.86,7.78
52,Haftoni,90,AZ,1604789132,93,38.76,48.76,57.2,4.7
53,Rjukan,53,NO,1604789132,70,59.88,8.59,41.0,5.3
54,George Town,20,MY,1604789132,94,5.41,100.34,78.8,3.36
55,Quesnel,1,CA,1604788927,47,53.0,-122.5,33.8,20.8
56,Faya,0,SA,1604789132,62,18.39,42.45,57.2,0.63
57,Albany,90,US,1604789132,51,42.6,-73.97,61.0,3.76
58,Samarai,26,PG,1604789133,80,-10.62,150.67,81.99,8.48
59,Anshun,5,CN,1604789133,91,26.25,105.93,47.88,3.87
60,Kavieng,61,PG,1604789133,66,-2.57,150.8,85.03,7.38
61,Constitución,0,CL,1604789133,68,-35.33,-72.42,59.86,13.78
62,Oktyabr'skiy,97,RU,1604789133,91,54.48,53.47,33.75,10.89
63,Nemuro,88,JP,1604789133,71,43.32,145.57,49.93,7.36
64,Clyde River,5,CA,1604789133,83,70.47,-68.59,-7.6,3.36
65,Morgan City,75,US,1604788962,94,29.7,-91.21,71.6,12.75
66,Thompson,90,CA,1604789105,85,55.74,-97.86,19.4,2.24
67,Vardø,65,NO,1604789134,73,70.37,31.11,39.69,24.92
68,Deputatsky,98,RU,1604789134,93,69.3,139.9,-4.97,3.29
69,La Palma,75,US,1604789134,66,33.85,-118.05,59.0,10.29
70,Brae,26,GB,1604789134,93,60.4,-1.35,42.8,2.53
71,Okhotsk,93,RU,1604789135,89,59.38,143.3,10.08,14.99
72,Hasaki,75,JP,1604789135,100,35.73,140.83,57.2,2.24
73,Katsuura,75,JP,1604789135,72,35.13,140.3,62.6,3.36
74,Kelo,31,TD,1604789135,33,9.31,15.81,75.54,4.97
75,Bystryy Istok,27,RU,1604789135,73,52.37,84.39,39.97,3.29
76,Maţāy,0,EG,1604789136,62,28.42,30.78,59.45,2.82
77,Kiryat Gat,59,IL,1604789136,76,31.61,34.76,66.0,1.43
78,Bethel,1,US,1604789136,51,41.37,-73.41,64.0,4.27
79,Jishou,0,CN,1604789136,78,28.32,109.72,54.46,2.48
80,Qaanaaq,0,GL,1604789136,70,77.48,-69.36,-12.33,8.9
81,São João da Barra,60,BR,1604789137,84,-21.64,-41.05,73.85,7.18
82,Rincón de Tamayo,20,MX,1604789137,16,20.42,-100.75,79.0,9.17
83,Castro,0,BR,1604789137,55,-24.79,-50.01,64.08,4.83
84,Lander,1,US,1604789086,41,42.83,-108.73,63.0,6.93
85,Lüderitz,0,NA,1604789137,86,-26.65,15.16,61.79,5.55
86,Serebryansk,0,KZ,1604789137,65,49.69,83.29,41.0,6.71
87,Flinders,35,AU,1604789137,58,-34.58,150.86,64.99,4.0
88,Berlevåg,88,NO,1604789060,74,70.86,29.09,39.22,30.38
89,Aklavik,40,CA,1604788929,58,68.22,-135.01,30.2,4.7
90,Lebu,0,CL,1604789138,73,-37.62,-73.65,54.43,22.68
91,Diffa,5,NE,1604789138,34,13.32,12.61,72.88,9.78
92,Emba,95,KZ,1604789138,77,48.83,58.14,37.92,17.2
93,Caravelas,1,BR,1604789138,92,-17.71,-39.25,74.98,5.19
94,Goundam,0,ML,1604789138,14,16.41,-3.67,81.7,10.07
95,Sfântu Gheorghe,3,RO,1604789139,88,45.87,25.78,37.0,1.99
96,Koumac,1,NC,1604789139,66,-20.57,164.28,79.34,14.47
97,Luanda,75,AO,1604789126,83,-8.84,13.23,78.8,6.93
98,Lillooet,90,CA,1604789139,44,50.69,-121.94,41.0,18.34
99,Gladstone,75,AU,1604789139,53,-23.85,151.25,77.0,19.46
100,Kapoeta,85,SS,1604789139,58,4.77,33.59,80.38,4.79
101,Kahului,40,US,1604788996,52,20.89,-156.47,87.8,17.22
102,Kashgar,0,CN,1604789140,30,39.45,75.98,42.8,11.18
103,Coyhaique,0,CL,1604789140,37,-45.58,-72.07,66.2,8.05
104,Leshukonskoye,100,RU,1604789140,97,64.9,45.76,32.83,8.59
105,Cidreira,27,BR,1604789140,84,-30.18,-50.21,67.86,16.04
106,Sibolga,100,ID,1604789140,82,1.74,98.78,77.05,4.21
107,Benidorm,0,ES,1604789140,66,38.54,-0.13,63.0,3.0
108,Okha,74,RU,1604789140,94,53.57,142.95,25.38,9.51
109,Longyearbyen,96,SJ,1604789140,79,78.22,15.64,28.4,4.74
110,Salto,0,UY,1604788884,47,-31.38,-57.97,78.8,11.41
111,Ribeira Grande,21,PT,1604789141,73,38.52,-28.7,61.48,16.58
112,Butaritari,92,KI,1604789141,72,3.07,172.79,81.34,11.63
113,Ostrovnoy,100,RU,1604789141,89,68.05,39.51,34.5,21.16
114,Riyadh,0,SA,1604789015,37,24.69,46.72,68.0,2.24
115,Vao,80,NC,1604789141,71,-22.67,167.48,73.58,11.81
116,Olafsvik,74,IS,1604789141,69,64.89,-23.71,41.02,27.98
117,Yelan’-Koleno,19,RU,1604789142,89,51.15,41.23,39.45,9.4
118,Yumen,3,CN,1604789142,83,40.28,97.2,26.96,1.36
119,Havre-St-Pierre,1,CA,1604789046,63,50.23,-63.6,28.4,5.82
120,Port-Gentil,90,GA,1604789142,100,-0.72,8.78,77.0,5.82
121,Mildura,0,AU,1604789142,50,-34.2,142.15,63.0,10.29
122,Cabedelo,40,BR,1604789142,83,-6.98,-34.83,78.8,12.75
123,Guerrero Negro,49,MX,1604789142,65,27.98,-114.06,67.59,20.24
124,Nador,0,MA,1604789142,87,35.17,-2.93,59.0,2.66
125,Roald,90,NO,1604789143,93,62.58,6.13,44.01,3.36
126,Esperance,75,AU,1604789143,100,-33.87,121.9,57.2,8.05
127,Pacific Grove,40,US,1604788880,71,36.62,-121.92,57.0,9.17
128,Sur,0,OM,1604789143,71,22.57,59.53,75.9,7.87
129,Susanville,90,US,1604789143,52,40.42,-120.65,44.6,9.17
130,Teutônia,5,BR,1604788876,74,-29.45,-51.81,68.72,5.17
131,Fort Nelson,75,CA,1604789143,78,58.81,-122.7,14.0,2.24
132,Fortuna,75,US,1604789144,66,40.6,-124.16,55.0,19.46
133,Vila,99,PT,1604789144,95,42.03,-8.16,54.0,5.3
134,Saint-Pierre,0,RE,1604789144,77,-21.34,55.48,69.8,5.82
135,Upernavik,0,GL,1604789144,78,72.79,-56.15,0.0,7.49
136,Hofn,100,IS,1604789144,84,64.25,-15.21,43.63,21.99
137,Dunda,17,TZ,1604789144,59,-8.12,34.25,67.87,1.39
138,Farah,31,AF,1604789144,53,32.5,62.5,48.74,1.7
139,São Filipe,47,CV,1604789144,77,14.9,-24.5,79.32,10.25
140,Sawtell,90,AU,1604789144,72,-30.38,153.1,64.0,11.41
141,Hergla,0,TN,1604789145,72,36.03,10.51,62.6,2.24
142,Basco,89,PH,1604789145,84,20.45,121.97,80.46,23.8
143,Mnogovershinnyy,100,RU,1604789145,96,53.94,139.92,16.79,4.61
144,Puerto Rico,0,AR,1604789145,36,-26.8,-55.02,79.52,2.8
145,Santa Rosa,75,PH,1604789145,88,14.31,121.11,77.0,10.29
146,Nangan,66,PH,1604789145,80,6.47,126.12,81.03,5.55
147,Lagoa,1,PT,1604789146,75,39.05,-27.98,61.23,17.69
148,Tigil',81,RU,1604789146,90,57.8,158.67,28.09,5.19
149,Cockburn Town,100,TC,1604789144,80,21.46,-71.14,79.21,23.04
150,Saldanha,3,ZA,1604789146,87,-33.01,17.94,60.8,10.29
151,Nantucket,1,US,1604789146,87,41.28,-70.1,57.2,10.29
152,Margate,65,GB,1604789146,91,51.38,1.39,53.01,7.87
153,Omboué,88,GA,1604789146,88,-1.57,9.26,77.47,7.43
154,Vanimo,100,PG,1604789146,90,-2.67,141.3,75.56,6.04
155,Teya,100,RU,1604789147,86,60.38,92.63,37.99,11.23
156,Pisco,75,PE,1604789147,77,-13.7,-76.22,66.99,5.82
157,Marsá Maţrūḩ,91,EG,1604789147,68,31.35,27.25,70.65,15.95
158,Ciudad de Armería,40,MX,1604789147,54,18.93,-103.97,86.0,11.41
159,Mama,100,RU,1604789147,87,58.31,112.9,4.75,4.72
160,Bathsheba,40,BB,1604789147,83,13.22,-59.52,80.6,17.22
161,Seabrook,1,US,1604788920,55,38.97,-76.84,68.0,1.32
162,Neuquén,0,AR,1604789148,30,-38.95,-68.06,86.0,12.75
163,São Félix do Xingu,23,BR,1604789080,86,-6.64,-51.99,74.61,2.89
164,Liborina,90,CO,1604789148,96,6.68,-75.81,57.0,3.04
165,Torbay,75,CA,1604788981,81,47.67,-52.73,42.8,23.04
166,Eidfjord,100,NO,1604789148,81,60.47,7.07,37.99,2.59
167,Saint Paul Harbor,90,US,1604789148,81,57.79,-152.41,42.8,11.41
168,Chui,8,UY,1604789148,93,-33.7,-53.46,60.28,6.69
169,Charkhi Dādri,0,IN,1604789149,28,28.6,76.27,63.25,0.76
170,Plettenberg Bay,0,ZA,1604789149,70,-34.05,23.37,60.98,4.81
171,East Stroudsburg,0,US,1604789149,54,41.0,-75.18,59.0,3.4
172,Buala,71,SB,1604789149,69,-8.14,159.59,85.73,5.41
173,Kroya,92,ID,1604789149,81,-7.63,109.25,64.0,4.14
174,Pangody,100,RU,1604789150,99,65.85,74.49,31.82,4.45
175,Masty,0,BY,1604789150,93,53.41,24.54,44.2,8.23
176,Hanmer Springs,100,NZ,1604789150,86,-42.52,172.82,39.18,5.35
177,Plaeng Yao,50,TH,1604789150,99,13.58,101.28,79.0,6.78
178,Faanui,76,PF,1604789150,77,-16.48,-151.75,79.2,10.54
179,Korla,0,CN,1604789150,73,41.76,86.15,34.21,3.31
180,Cayenne,0,GF,1604789150,100,4.93,-52.33,78.8,2.24
181,Katangli,36,RU,1604789151,90,51.71,143.23,24.03,8.77
182,Sørland,100,NO,1604789151,69,67.67,12.69,40.68,15.5
183,Kiunga,100,PG,1604789151,87,-6.12,141.29,76.84,1.66
184,Arraial do Cabo,37,BR,1604789151,75,-22.97,-42.03,72.64,6.15
185,Phalombe,62,MW,1604789151,34,-15.81,35.65,76.05,1.48
186,Tuatapere,46,NZ,1604789151,55,-46.13,167.68,53.01,8.99
187,Salalah,0,OM,1604789152,64,17.02,54.09,73.4,3.36
188,Aloleng,100,PH,1604789152,84,16.13,119.78,80.04,10.8
189,Trelew,92,AR,1604789152,40,-43.25,-65.31,65.64,21.99
190,Aranos,0,NA,1604789152,21,-24.13,19.12,72.45,10.4
191,Sisimiut,90,GL,1604789152,86,66.94,-53.67,15.57,13.33
192,Iqaluit,75,CA,1604789152,72,63.75,-68.51,10.4,4.7
193,Kandrian,48,PG,1604789152,69,-6.22,149.55,83.75,2.46
194,Bodhan,5,IN,1604789152,53,18.67,77.9,62.47,4.18
195,Suntar,7,RU,1604789153,90,62.14,117.63,-6.48,4.5
196,Saint George,1,US,1604789031,19,37.1,-113.58,59.0,26.4
197,Anadyr,40,RU,1604789153,92,64.75,177.48,21.2,6.71
198,Topolovgrad,20,BG,1604789153,75,42.08,26.33,48.99,6.93
199,Havelock,1,US,1604789153,77,34.88,-76.9,70.0,11.41
200,Nikolskoye,90,RU,1604789153,81,59.7,30.79,48.2,15.66
201,Mīzan Teferī,93,ET,1604789153,90,6.98,35.58,61.54,2.06
202,Lakatoro,75,VU,1604789154,74,-16.1,167.42,84.2,9.17
203,Omsukchan,100,RU,1604789154,89,62.53,155.8,-1.32,4.68
204,Lavrentiya,54,RU,1604789154,95,65.58,-171.0,29.59,7.85
205,Palauig,100,PH,1604789154,74,15.44,119.9,80.17,10.07
206,Sambava,100,MG,1604789154,85,-14.27,50.17,75.02,9.82
207,La Ronge,100,CA,1604789154,79,55.1,-105.28,21.2,6.93
208,Hithadhoo,29,MV,1604789154,72,-0.6,73.08,83.53,7.99
209,Athabasca,100,CA,1604789155,92,54.72,-113.29,21.2,11.41
210,Codrington,18,AU,1604789155,72,-38.27,141.97,55.13,8.59
211,Sampit,100,ID,1604789155,95,-2.53,112.95,75.43,2.19
212,Bengkulu,75,ID,1604789155,84,-3.8,102.27,75.78,4.0
213,Narsaq,100,GL,1604789155,74,60.92,-46.05,28.4,2.24
214,Bentiu,39,SS,1604789155,36,9.23,29.83,76.17,2.75
215,Boueni,20,YT,1604789155,83,-12.9,45.08,77.0,2.24
216,Kristiansund,99,NO,1604789106,87,63.11,7.73,42.8,6.93
217,Kruisfontein,0,ZA,1604789156,88,-34.0,24.73,57.99,1.01
218,Puerto Baquerizo Moreno,5,EC,1604788941,77,-0.9,-89.6,67.14,12.73
219,Hasanpur,0,IN,1604789156,36,28.72,78.28,60.08,2.39
220,Maragogi,16,BR,1604789156,83,-9.01,-35.22,77.22,12.26
221,Rancho Palos Verdes,75,US,1604789156,62,33.74,-118.39,59.0,17.22
222,Marathon,1,US,1604789156,59,44.9,-89.77,66.2,11.41
223,Iberia,90,US,1604789157,69,29.95,-91.75,80.6,8.05
224,Challans,90,FR,1604789157,93,46.84,-1.87,57.99,3.36
225,Abnūb,6,EG,1604789157,53,27.27,31.15,62.02,5.59
226,Oyón,86,PE,1604789157,53,-10.67,-76.77,52.88,1.9
227,Wanning,0,CN,1604789157,81,18.8,110.4,71.42,10.67
228,Shagonar,1,RU,1604789157,94,51.53,92.8,31.8,1.9
229,Cabinda,75,AO,1604789157,85,-5.55,12.2,77.58,6.93
230,Lorengau,100,PG,1604789158,64,-2.02,147.27,84.09,7.25
231,Beyneu,74,KZ,1604789158,64,45.32,55.2,44.96,15.39
232,Bredasdorp,2,ZA,1604789158,59,-34.53,20.04,62.6,12.75
233,Prince George,20,CA,1604788987,74,53.92,-122.75,34.0,13.87
234,Wote,42,KE,1604789158,82,-1.78,37.63,65.82,0.94
235,Āsosa,67,ET,1604789158,45,10.07,34.53,62.78,4.23
236,Mulegé,0,MX,1604789158,31,26.88,-111.98,86.43,5.99
237,Kandi,0,BJ,1604789061,23,11.13,2.94,74.59,4.74
238,Praia da Vitória,75,PT,1604788861,72,38.73,-27.07,60.8,15.28
239,Shimoda,97,JP,1604789159,58,34.67,138.95,69.82,14.14
240,Saint-François,0,FR,1604789159,67,46.42,3.91,60.8,3.36
241,Husavik,75,IS,1604789159,45,66.04,-17.34,46.4,11.41
242,Pontianak,96,ID,1604789159,92,-0.03,109.33,75.96,3.47
243,Chokurdakh,100,RU,1604789159,95,70.63,147.92,1.69,5.53
244,Mar del Plata,0,AR,1604789016,88,-38.0,-57.56,64.4,9.17
245,Kutum,0,SD,1604789159,32,14.2,24.67,64.85,8.01
246,Portland,90,US,1604789108,81,45.52,-122.68,48.99,5.82
247,Tete,0,MZ,1604789159,30,-16.16,33.59,86.0,2.75
248,Paranaíba,0,BR,1604789159,30,-19.68,-51.19,84.16,4.23
249,Neubiberg,0,DE,1604789160,98,48.08,11.68,41.0,2.24
250,Kantunilkín,75,MX,1604789160,66,21.09,-87.45,84.2,10.29
251,Christchurch,100,NZ,1604789149,100,-43.53,172.63,46.99,19.46
252,Dakar,0,SN,1604788900,74,14.69,-17.44,84.2,9.17
253,Makakilo City,90,US,1604789160,66,21.35,-158.09,84.2,5.82
254,Isangel,75,VU,1604789160,83,-19.55,169.27,82.4,5.82
255,Piopio,86,NZ,1604789160,68,-38.47,175.02,69.01,11.01
256,Kushmurun,100,KZ,1604788868,87,52.45,64.63,43.56,11.9
257,Bethanien,0,NA,1604789160,61,-26.5,17.16,57.87,3.18
258,Carballo,20,ES,1604789161,93,43.21,-8.69,59.0,4.7
259,Mossamedes,11,AO,1604789161,67,-15.2,12.15,69.91,10.18
260,Sangar,99,RU,1604789161,89,63.92,127.47,-13.04,4.74
261,Chiang Klang,10,TH,1604789161,83,19.29,100.86,68.27,2.04
262,Tongzi,61,CN,1604789161,80,28.78,105.09,58.8,0.78
263,Vista Hermosa,20,MX,1604789161,28,19.52,-99.22,73.4,3.36
264,Richards Bay,1,ZA,1604789161,91,-28.78,32.04,71.85,6.06
265,Pingliang,80,CN,1604789161,64,35.54,106.69,39.02,0.56
266,Pontal do Paraná,0,BR,1604789162,77,-25.65,-48.51,62.6,8.05
267,União,0,BR,1604789162,70,-4.59,-42.86,86.0,3.36
268,San Patricio,20,US,1604789162,65,28.02,-97.52,78.8,16.11
269,Orbetello,0,IT,1604789162,87,42.44,11.22,50.0,3.36
270,Yetkul',75,RU,1604789162,100,54.82,61.59,35.6,6.71
271,Gomel,75,BY,1604789163,93,52.43,30.98,46.4,15.66
272,Duvan,84,RU,1604789163,92,55.7,57.9,33.19,10.33
273,Sal Rei,40,CV,1604789163,78,16.18,-22.92,77.0,14.99
274,Blackfalds,90,CA,1604789163,92,52.38,-113.79,23.0,21.92
275,Muros,34,ES,1604789163,90,42.78,-9.06,60.01,8.99
276,Koksovyy,0,RU,1604789163,88,48.2,40.6,41.94,7.7
277,Russell,20,US,1604789106,83,32.35,-85.2,73.4,4.7
278,Cururupu,97,BR,1604789077,86,-1.83,-44.87,78.08,4.54
279,Olinda,75,BR,1604789164,78,-8.01,-34.86,80.6,11.41
280,Port Maria,100,JM,1604789164,96,18.37,-76.89,75.99,7.81
281,Bow Island,100,CA,1604789164,93,49.87,-111.37,33.8,4.7
282,Pacifica,1,US,1604789164,66,37.61,-122.49,60.01,9.17
283,Honningsvåg,100,NO,1604789164,75,70.98,25.97,40.62,33.67
284,Fasa,0,IR,1604789164,45,28.94,53.65,48.2,0.74
285,Erdenet,0,MN,1604789164,86,49.03,104.08,24.15,3.71
286,Kiama,49,AU,1604789164,58,-34.68,150.87,64.99,4.0
287,Poli,88,TZ,1604789165,83,-3.33,36.8,60.73,4.38
288,Jiayuguan City,8,CN,1604789165,71,39.82,98.3,30.74,2.33
289,Ahipara,25,NZ,1604789165,69,-35.17,173.17,65.12,12.73
290,Sitka,40,US,1604789165,69,57.05,-135.33,39.2,6.93
291,Henties Bay,0,NA,1604789165,91,-22.12,14.28,60.01,1.99
292,Capitán Miranda,0,PY,1604789165,24,-27.2,-55.8,91.4,6.93
293,Kushima,75,JP,1604789165,72,31.46,131.23,64.4,11.41
294,Katherine,14,AU,1604789166,51,-14.47,132.27,86.0,2.24
295,Chapais,90,CA,1604789166,98,49.78,-74.85,32.0,5.82
296,Malanje,100,AO,1604789166,97,-9.54,16.34,66.96,3.27
297,Semīrom,98,IR,1604789166,90,31.42,51.57,30.76,2.84
298,Lebedinyy,100,RU,1604789166,91,58.52,125.52,-8.34,3.98
299,Maués,74,BR,1604789166,62,-3.38,-57.72,83.59,1.68
300,Cabo San Lucas,40,MX,1604789106,65,22.89,-109.91,82.99,4.7
301,Coahuayana Viejo,40,MX,1604789166,54,18.73,-103.68,84.2,11.41
302,Vanavara,100,RU,1604789166,97,60.34,102.28,16.02,4.21
303,San Quintín,2,MX,1604789167,55,30.48,-115.95,65.03,20.49
304,Ust-Maya,100,RU,1604789167,91,60.42,134.53,-3.44,3.71
305,Katiola,20,CI,1604789167,88,8.13,-5.1,77.0,4.7
306,Leningradskiy,100,RU,1604789167,95,69.38,178.42,19.11,10.09
307,Canberra,40,AU,1604789042,58,-35.28,149.13,55.99,8.05
308,Mount Gambier,1,AU,1604789167,66,-37.83,140.77,53.6,12.75
309,São José da Tapera,38,BR,1604789167,78,-9.56,-37.38,76.75,15.52
310,Dingle,80,PH,1604789167,87,11.0,122.67,75.58,0.31
311,Ossora,66,RU,1604789168,86,59.24,163.07,27.93,4.5
312,Ullapool,23,GB,1604789168,96,57.9,-5.16,42.01,6.08
313,Namie,20,JP,1604788899,62,37.48,141.0,63.0,13.38
314,Doha,0,QA,1604789168,69,25.29,51.53,82.99,2.24
315,Loikaw,0,MM,1604789168,93,19.67,97.21,63.28,2.28
316,Kavaratti,0,IN,1604789168,75,10.57,72.64,82.69,8.34
317,Erzin,0,TR,1604789168,53,36.96,36.2,62.01,8.01
318,Provideniya,12,RU,1604789168,93,64.38,-173.3,28.8,2.44
319,Santa Maria do Pará,82,BR,1604789169,86,-1.35,-47.58,76.84,6.46
320,Ndélé,81,CF,1604789169,69,8.41,20.65,74.17,2.46
321,Horta,37,PT,1604789169,74,38.53,-28.63,61.11,15.77
322,Chegdomyn,100,RU,1604789169,91,51.12,133.02,18.19,1.61
323,La Providencia,0,MX,1604789169,65,28.72,-111.58,84.0,15.99
324,San Angelo,1,US,1604789169,41,31.46,-100.44,77.0,11.41
325,Shahr-e Bābak,25,IR,1604789169,55,30.12,55.12,42.91,5.48
326,Orcopampa,83,PE,1604789169,57,-15.27,-72.34,49.68,8.48
327,Boende,100,CD,1604789170,90,-0.22,20.87,70.57,1.79
328,Port Moresby,75,PG,1604789170,88,-9.44,147.18,80.6,5.82
329,Bria,97,CF,1604789170,84,6.54,21.99,71.26,2.17
330,Ponta do Sol,20,PT,1604789170,72,32.67,-17.1,64.4,2.24
331,Gimli,100,CA,1604789170,74,50.63,-96.99,39.2,21.92
332,Saint-Augustin,0,CA,1604789170,89,51.23,-58.65,31.73,17.31
333,Poum,10,NC,1604789170,76,-20.23,164.02,77.31,15.08
334,Sarangani,59,PH,1604789170,76,5.4,125.46,82.67,6.91
335,Lantawan,75,PH,1604789171,88,10.62,123.98,77.0,2.24
336,Nelson Bay,40,AU,1604789171,55,-32.72,152.15,64.99,10.29
337,Bilibino,100,RU,1604789171,90,68.05,166.44,0.88,1.74
338,Zhangjiakou,0,CN,1604789171,77,40.81,114.88,30.67,5.48
339,Mayo,1,US,1604789171,82,38.89,-76.51,62.01,3.36
340,Tevriz,100,RU,1604789171,92,57.51,72.4,37.54,7.09
341,Road Town,75,VG,1604789146,78,18.42,-64.62,82.4,6.93
342,Saskylakh,0,RU,1604789171,89,71.92,114.08,-8.59,7.72
343,Arroio Grande,45,BR,1604789171,87,-32.24,-53.09,62.51,9.89
344,Hambantota,1,LK,1604789172,80,6.12,81.12,78.85,9.19
345,Bambous Virieux,40,MU,1604789172,78,-20.34,57.76,73.4,5.82
346,Dudinka,75,RU,1604789172,92,69.41,86.18,17.6,22.37
347,Tambovka,75,RU,1604789172,92,50.1,128.05,21.2,13.42
348,Acapulco de Juárez,5,MX,1604788990,70,16.86,-99.89,86.0,8.05
349,Nuevo Imperial,56,PE,1604789129,79,-13.08,-76.32,63.34,4.0
350,Piedra Gorda,40,PR,1604789172,100,18.43,-66.89,75.99,4.43
351,Gonder,93,ET,1604789172,62,12.6,37.47,57.34,3.15
352,Dubbo,0,AU,1604789173,55,-32.25,148.62,64.4,20.8
353,São Lourenço do Oeste,0,BR,1604789173,47,-26.36,-52.85,67.73,1.59
354,Barcelos,75,PT,1604789173,87,41.54,-8.62,60.8,21.92
355,Fiumicino,1,IT,1604789174,93,41.77,12.23,57.0,2.24
356,Tegul'det,88,RU,1604789174,83,57.31,88.17,36.32,8.63
357,Quatre Cocos,40,MU,1604789174,78,-20.21,57.76,73.4,5.82
358,Mollendo,73,PE,1604789174,73,-17.02,-72.01,64.87,3.74
359,Ratangarh,0,IN,1604789174,27,28.08,74.6,64.44,5.3
360,Laguna,1,US,1604789175,36,38.42,-121.42,63.0,2.35
361,Tasiilaq,63,GL,1604789175,74,65.61,-37.64,28.4,11.41
362,Bennington,1,US,1604788880,62,42.88,-73.2,60.8,3.36
363,Nome,90,US,1604789175,86,64.5,-165.41,37.4,6.93
364,Gualaquiza,91,EC,1604789176,82,-3.4,-78.55,67.42,0.81
365,Yerbogachën,100,RU,1604789176,94,61.28,108.01,5.18,5.12
366,Coquimbo,0,CL,1604788983,77,-29.95,-71.34,59.0,12.75
367,Pasni,0,PK,1604789176,51,25.26,63.47,73.78,5.28
368,Toronto,83,CA,1604789037,55,43.7,-79.42,66.2,6.55
369,Baykit,100,RU,1604789176,95,61.67,96.37,21.79,3.31
370,San Cristobal,75,VE,1604789176,78,7.77,-72.22,80.6,8.05
371,Muscatine,1,US,1604789176,40,41.47,-91.13,69.8,11.41
372,Nampa,90,US,1604789040,57,43.54,-116.56,50.0,9.17
373,Ilo,62,PE,1604789155,79,-17.64,-71.34,63.28,1.32
374,Bud,1,US,1604789074,42,39.45,-86.18,66.2,3.76
